"Endpoint RX Packet Loss Percentage",
Date,"cv_udp-1.1-1.sta000--1.0.0-A/Packet Loss Percent",Date,"cv_udp-1.1-1.sta000--1.0.0-B/Packet Loss Percent",Date,"cv_tcp-1.1-1.sta000--1.0.0-A/Packet Loss Percent",Date,"cv_tcp-1.1-1.sta000--1.0.0-B/Packet Loss Percent",
"2022-05-12T07:21:01.148 UTC",0,"2022-05-12T07:21:02.449 UTC",0,"2022-05-12T07:23:03.917 UTC",0,"2022-05-12T07:23:03.917 UTC",0,
"2022-05-12T07:21:02.449 UTC",0,"2022-05-12T07:21:03.660 UTC",0,"2022-05-12T07:23:05.121 UTC",0,"2022-05-12T07:23:05.121 UTC",0,
"2022-05-12T07:21:03.660 UTC",0,"2022-05-12T07:21:07.520 UTC",0,"2022-05-12T07:23:06.618 UTC",0,"2022-05-12T07:23:06.618 UTC",0,
"2022-05-12T07:21:04.945 UTC",0,"2022-05-12T07:21:08.700 UTC",0,"2022-05-12T07:23:07.969 UTC",0,"2022-05-12T07:23:07.969 UTC",0,
"2022-05-12T07:21:07.520 UTC",0,"2022-05-12T07:21:09.905 UTC",0,"2022-05-12T07:23:09.171 UTC",0,"2022-05-12T07:23:10.752 UTC",0,
"2022-05-12T07:21:08.700 UTC",0,"2022-05-12T07:21:11.769 UTC",0,"2022-05-12T07:23:10.752 UTC",0,"2022-05-12T07:23:12.632 UTC",0,
"2022-05-12T07:21:09.905 UTC",0,"2022-05-12T07:21:13.127 UTC",0,"2022-05-12T07:23:12.632 UTC",0,"2022-05-12T07:23:14.191 UTC",0,
"2022-05-12T07:21:11.769 UTC",0,"2022-05-12T07:21:14.328 UTC",0,"2022-05-12T07:23:14.191 UTC",0,"2022-05-12T07:23:15.509 UTC",0,
"2022-05-12T07:21:13.127 UTC",0,"2022-05-12T07:21:15.473 UTC",0,"2022-05-12T07:23:15.509 UTC",0,"2022-05-12T07:23:16.773 UTC",0,
"2022-05-12T07:21:14.328 UTC",0,"2022-05-12T07:21:17.153 UTC",0,"2022-05-12T07:23:16.773 UTC",0,"2022-05-12T07:23:18.108 UTC",0,
"2022-05-12T07:21:15.473 UTC",0,"2022-05-12T07:21:18.435 UTC",0,"2022-05-12T07:23:18.108 UTC",0,"2022-05-12T07:23:19.430 UTC",0,
